## Downloaded 2022-01-11 from https://en.wikipedia.org/wiki/Glossary_of_chemical_formulae and https://en.wikipedia.org/wiki/List_of_CAS_numbers_by_chemical_compound
ascii                              | name                                         | CAS
Ca(BrO)2                           | calcium hypobromite                          | 
Ca(BrO2)2                          | calcium bromite                              | 
Ca(BrO3)2                          | calcium bromate                              | 10102-75-7
Ca(BrO4)2                          | calcium perbromate                           | 
Ca(C2H3O2)2                        | calcium acetate                              | 62-54-4
Ca(C2H3O2)2                        | calcium acetate                              | 62-54-4
Ca(C2HO2)2                         | calcium fumarate                             | 19855-56-2
Ca(C3H5O2)2                        | calcium propionate                           | 4075-81-4
Ca(CHO2)2                          | calcium formate                              | 544-17-2
Ca(CHO2)2                          | calcium formate                              | 544-17-2
Ca(CN)2                            | calcium cyanide                              | 592-01-8
Ca(CN)2                            | calcium cyanide                              | 592-01-8
Ca(ClO)2                           | calcium hypochlorite                         | 7778-54-3
Ca(ClO2)2                          | calcium chlorite                             | 
Ca(ClO3)2                          | calcium chlorate                             | 10137-74-3
Ca(ClO3)2                          | calcium chlorate                             | 10137-74-3
Ca(ClO4)2                          | calcium perchlorate                          | 13477-36-6
Ca(ClO4)2                          | calcium perchlorate                          | 13477-36-6
Ca(H2PO2)2                         | calcium hypophosphite                        | 7789-79-9
Ca(H2PO2)2                         | calcium hypophosphite                        | 7789-79-9
Ca(H2PO4)2                         | calcium dihydrogen phosphate monohydrate     | 7758-23-8
Ca(HS)2                            | calcium hydrosulfide                         | 12133-28-7
Ca(IO)2                            | calcium hypoiodite                           | 
Ca(IO2)2                           | calcium iodite                               | 
Ca(IO3)2                           | calcium iodate                               | 7789-80-2
Ca(IO3)2                           | calcium iodate                               | 7789-80-2
Ca(IO4)2                           | calcium periodate                            | 
Ca(MnO4)2                          | calcium permanganate                         | 10118-76-0
Ca(NO2)2                           | calcium nitrite                              | 13780-06-8
Ca(NO2)2                           | calcium nitrite                              | 13780-06-8
Ca(NO3)2                           | calcium nitrate                              | 10124-37-5
Ca(NO3)2                           | calcium nitrate                              | 10124-37-5
Ca(NO3)2.4H2O                      | Calcium nitrate tetrahydrate                 | 13477-34-4
Ca(NbO3)2                          | calcium metaniobate                          | 
Ca(OH)2                            | calcium hydroxide                            | 1305-62-0
Ca(OH)2                            | calcium hydroxide                            | 1305-62-0
Ca(OH)2                            | slaked lime                                  | 1305-62-0
Ca(VO3)2                           | calcium metavanadate                         | 12135-52-3
Ca(VO4)2                           | calcium orthovanadate                        | 
Ca2P2O7                            | calcium pyrophosphate                        | 7790-76-3
Ca2SiO4                            | calcium silicate                             | 1344-95-2
Ca3(AsO4)2                         | calcium arsenate                             | 7778-44-1
Ca3(AsO4)2                         | calcium arsenate                             | 7778-44-1
Ca3(C6H15O7)2                      | calcium citrate                              | 5785-44-4
Ca3(PO4)2                          | calcium phosphate                            | 7758-87-4
Ca3(PO4)2                          | tricalcium phosphate                         | 7758-87-4
Ca3N2                              | calcium nitride                              | 12013-82-0
Ca3N2                              | calcium nitride                              | 12013-82-0
Ca3P2                              | calcium phosphide                            | 1305-99-3
Ca3P2                              | calcium phosphide                            | 1305-99-3
Ca4(PO4)2O                         | tetracalcium phosphate                       | 1306-01-0
Ca5(PO4)3(OH)                      | hydroxyapatite                               | 
Ca5(PO4)3F                         | calcium fluorophosphate                      | 12015-73-5
CaAl2O4                            | calcium aluminate                            | 12042-68-1
CaAl2O4                            | calcium aluminate                            | 12042-68-1
CaB6                               | calcium boride                               | 12007-99-7
CaB6                               | calcium boride                               | 12007-99-7
CaBr2                              | calcium bromide                              | 7789-41-5
CaBr2                              | calcium bromide                              | 7789-41-5
CaC2                               | calcium carbide                              | 75-20-7
CaC2                               | calcium carbide                              | 75-20-7
CaC2O4                             | calcium oxalate                              | 563-72-4
CaC2O4                             | calcium oxalate                              | 563-72-4
CaCN2                              | calcium cyanamide                            | 156-62-7
CaCN2                              | calcium cyanamide                            | 156-62-7
CaCO3                              | calcium carbonate                            | 471-34-1
CaCO3                              | calcium carbonate                            | 471-34-1
CaCO3                              | spent lime                                   | 471-34-1
CaCO3                              | calcite                                      | 471-34-1
CaCO3                              | limestone                                    | 471-34-1
CaCO3                              | marble                                       | 471-34-1
CaCl2                              | calcium chloride                             | 10043-52-4
CaCl2                              | calcium chloride                             | 10043-52-4
CaCl2O2                            | calcium hypochlorite                         | 7778-54-3
CaCl2.6H2O                         | calcium chloride hexahydrate                 | 7774-34-7
CaCr2O7                            | calcium chromate                             | 14307-33-6
CaF2                               | calcium fluoride                             | 7789-75-5
CaF2                               | calcium fluoride                             | 7789-75-5
CaF2                               | fluorite                                     | 7789-75-5
CaH2                               | calcium hydride                              | 7789-78-8
CaH2                               | calcium hydride                              | 7789-78-8
CaHPO4                             | calcium hydrogenorthophosphate               | 7757-93-9
CaHPO4                             | dicalcium phosphate                          | 7757-93-9
CaI2                               | calcium iodide                               | 10102-68-8
CaI2                               | calcium iodide                               | 10102-68-8
CaMoO4                             | calcium molybdate                            | 7789-82-4
CaMoO4                             | calcium molybdate                            | 7789-82-4
CaO                                | calcium oxide                                | 1305-78-8
CaO                                | quicklime                                    | 1305-78-8
CaO                                | calcium oxide                                | 1305-78-8
CaO                                | burnt lime                                   | 1305-78-8
CaO2                               | calcium peroxide                             | 1305-79-9
CaO2                               | calcium peroxide                             | 1305-79-9
CaP                                | calcium monophosphide                        | 39373-03-0
CaRe2O8                            | calcium perrhenate                           | 13768-54-2
CaS                                | calcium sulfide                              | 20548-54-3
CaS                                | calcium sulfide                              | 20548-54-3
CaS                                | hepar calcies                                | 20548-54-3
CaS                                | sulfurated lime                              | 20548-54-3
CaS                                | oldhamite                                    | 20548-54-3
CaSO3                              | calcium sulfite                              | 10257-55-3
CaSO4                              | calcium sulfate                              | 7778-18-9
CaSO4                              | calcium sulfate                              | 7778-18-9
CaSO4.0.5H2O                       | plaster of paris                             | 10034-76-1
CaSO4.0.5H2O                       | calcium sulfate hemihydrate                  | 10034-76-1
CaSe                               | calcium selenide                             | 1305-84-6
CaSe                               | calcium selenide                             | 1305-84-6
CaSeO3                             | calcium selenite                             | 13780-18-2
CaSeO4                             | calcium selenate                             | 14019-91-1
CaSi2                              | calcium silicide                             | 12013-56-8
CaSiO3                             | calcium metasilicate                         | 1344-95-2
CaSiO3                             | calcium metasilicate                         | 1344-95-2
CaSiO3                             | wollastonite                                 | 1344-95-2
CaTe                               | calcium telluride                            | 12013-57-9
CaTe                               | calcium telluride                            | 12013-57-9
CaTeO3                             | calcium tellurite                            | 13812-57-2
CaTeO4                             | calcium tellurate                            | 15852-09-2
CaTiO3                             | calcium titanate                             | 12049-50-2
CaTiO3                             | calcium titanate                             | 12049-50-2
CaWO4                              | calcium tungstate                            | 7790-75-2
CaWO4                              | calcium tungstate                            | 7790-75-2
Cd(C2H3O2)2                        | cadmium acetate                              | 543-90-8
Cd(C2H3O2)2                        | cadmium acetate                              | 543-90-8
Cd(CN)2                            | cadmium cyanide                              | 542-83-6
Cd(CN)2                            | cadmium cyanide                              | 542-83-6
Cd(IO3)2                           | cadmium iodate                               | 7790-81-0
Cd(IO3)2                           | cadmium iodate                               | 7790-81-0
Cd(N3)2                            | cadmium azide                                | 14215-29-3
Cd(N3)2                            | cadmium azide                                | 14215-29-3
Cd(NO3)2                           | cadmium nitrate                              | 10325-94-7
Cd(NO3)2                           | cadmium nitrate                              | 10325-94-7
Cd(OH)2                            | cadmium hydroxide                            | 21041-95-2
Cd(OH)2                            | cadmium hydroxide                            | 21041-95-2
Cd(TaO3)2                          | cadmium metatantalate                        | 12292-07-8
Cd2Nb2O7                           | cadmium niobate                              | 12187-14-3
Cd2Nb2O7                           | cadmium niobate                              | 12187-14-3
Cd3(PO4)2                          | cadmium phosphate                            | 13477-17-3
Cd3As2                             | cadmium arsenide                             | 12006-15-4
Cd3As2                             | cadmium arsenide                             | 12006-15-4
Cd3N2                              | cadmium nitride                              | 12380-95-9
Cd3P2                              | cadmium phosphide                            | 12014-28-7
Cd3P2                              | cadmium phosphide                            | 12014-28-7
CdBr2                              | cadmium bromide                              | 7789-42-6
CdBr2                              | cadmium bromide                              | 7789-42-6
CdC2O4                             | cadmium oxalate                              | 814-88-0
CdC2O4                             | cadmium oxalate                              | 814-88-0
CdCO3                              | cadmium carbonate                            | 513-78-0
CdCO3                              | cadmium carbonate                            | 513-78-0
CdCl2                              | cadmium chloride                             | 10108-64-2
CdCl2                              | cadmium chloride                             | 10108-64-2
CdCrO4                             | cadmium chromate                             | 14312-00-6
CdCrO4                             | cadmium chromate                             | 14312-00-6
CdF2                               | cadmium fluoride                             | 7790-79-6
CdF2                               | cadmium fluoride                             | 7790-79-6
CdI2                               | cadmium iodide                               | 7790-80-9
CdI2                               | cadmium iodide                               | 7790-80-9
CdMoO4                             | cadmium molybdate                            | 13972-68-4
CdMoO4                             | cadmium molybdate                            | 13972-68-4
CdO                                | cadmium oxide                                | 1306-19-0
CdO                                | cadmium oxide                                | 1306-19-0
CdS                                | cadmium sulfide                              | 1306-23-6
CdS                                | cadmium sulfide                              | 1306-23-6
CdS                                | greenockite                                  | 1306-23-6
CdSO3                              | cadmium sulfite                              | 13477-23-1
CdSO4                              | cadmium sulfate                              | 10124-36-4
CdSO4                              | cadmium sulfate                              | 10124-36-4
CdSb                               | cadmium antimonide                           | 12014-29-8
CdSb                               | cadmium antimonide                           | 12014-29-8
CdSe                               | cadmium selenide                             | 1306-24-7
CdSe                               | cadmium selenide                             | 1306-24-7
CdSe                               | cadmoselite                                  | 1306-24-7
CdSeO3                             | cadmium selenite                             | 13814-59-0
CdSiO3                             | cadmium silicate                             | 13477-19-5
CdSiO3                             | cadmium metasilicate                         | 13477-19-5
CdTe                               | cadmium telluride                            | 1306-25-8
CdTe                               | cadmium telluride                            | 1306-25-8
CdTeO4                             | cadmium tellurate                            | 15852-14-9
CdTiO3                             | cadmium titanate                             | 12014-14-1
CdTiO4                             | cadmium titanate                             | 12014-14-1
CdWO4                              | cadmium tungstate                            | 7790-85-4
CdWO4                              | cadmium tungstate                            | 7790-85-4
CdZrO3                             | cadmium metazirconate                        | 
Ce(CHO2)3                          | cerium(III) formate                          | 3252-51-5
Ce(SO4)2                           | cerium(IV) sulfate                           | 13590-82-4
Ce2(C2O4)3                         | cerium(III) oxalate                          | 15750-47-7
Ce2C3                              | cerium(III) carbide                          | 12115-63-8
Ce2O3                              | cerium(III) oxide                            | 1306-38-3
Ce2O3                              | cerium(III) oxide                            | 1345-13-7
Ce2S3                              | cerium(III) sulfide                          | 12014-93-6
Ce2S3                              | cerium(III) sulfide                          | 12014-93-6
CeB6                               | cerium boride                                | 12008-02-5
CeBr3                              | cerium(III) bromide                          | 7790-86-5
CeBr3                              | cerium(III) bromide                          | 14457-87-5
CeC                                | cerium carbide                               | 12012-32-7
CeCl3                              | cerium(III) chloride                         | 7790-86-5
CeCl3                              | cerium(III) chloride                         | 7790-86-5
CeF2                               | cerium(II) fluoride                          | 22655-57-8
CeF3                               | cerium(III) fluoride                         | 7758-88-5
CeF3                               | cerium(III) fluoride                         | 7758-88-5
CeF4                               | cerium(IV) fluoride                          | 10060-10-3
CeF4                               | cerium(IV) fluoride                          | 7758-88-5
CeH2                               | cerium(II) hydride                           | 13569-50-1
CeI2                               | cerium(II) iodide                            | 19139-47-0
CeI2                               | cerium(II) iodide                            | 19139-47-0
CeI3                               | cerium(III) iodide                           | 7790-87-6
CeI3                               | cerium(III) iodide                           | 7790-87-6
CeN                                | cerium(III) nitride                          | 25764-08-3
CeN                                | cerium nitride                               | 25764-08-3
CeO2                               | cerium(IV) oxide                             | 1306-38-3
CeO2                               | cerium(IV) oxide                             | 1306-38-3
CeO2                               | cerianite                                    | 1306-38-3
CeS                                | cerium(II) sulfide                           | 12014-82-3
CeS                                | cerium(II) sulfide                           | 12014-82-3
CeSi2                              | cerium silicide                              | 12014-85-6
CeVO2                              | cerium(III) vanadate                         | 13597-19-8
Cf2O3                              | californium(III) oxide                       | 12050-91-8
CfBr2                              | californium(II) bromide                      | 36700-18-2
CfBr3                              | californium(III) bromide                     | 20758-68-3
CfCl2                              | californium(II) chloride                     | 99643-99-9
CfCl3                              | californium(III) chloride                    | 13536-90-8
CfF3                               | californium(III) fluoride                    | 42775-52-0
CfF4                               | californium(IV) fluoride                     | 42845-08-9
CfI2                               | californium(II) iodide                       | 49774-08-5
CfI3                               | californium(III) iodide                      | 20758-81-0
CfO2                               | californium(IV) oxide                        | 12015-10-0
Cl2                                | chlorine                                     | 7782-50-5
Cl2O                               | chlorine monoxide                            | 7791-21-1
Cl2O3                              | chlorine trioxide                            | 17496-59-2
Cl2O3                              | chlorine trioxide                            | 17496-59-2
Cl2O6                              | chlorine hexoxide                            | 12442-63-6
Cl2O6                              | chlorine hexoxide                            | 12442-63-6
Cl2O7                              | chlorine heptoxide                           | 10294-48-1
Cl2O7                              | chlorine heptoxide                           | 10294-48-1
Cl2O8                              | Chlorine octaoxide                           | 
ClF                                | chlorine monofluoride                        | 7790-89-8
ClF                                | chlorine fluoride                            | 7790-89-8
ClF3                               | chlorine trifluoride                         | 7790-91-2
ClF3                               | chlorine trifluoride                         | 7790-91-2
ClF5                               | chlorine pentafluoride                       | 13637-63-3
ClF5                               | chlorine pentafluoride                       | 13637-63-3
ClO2                               | chlorine dioxide                             | 10049-04-4
ClO2                               | chlorine dioxide                             | 10049-04-4
ClO3F                              | chlorine trioxide fluoride                   | 7616-94-6
ClOClO3                            | chlorine perchlorate                         | 27218-16-2
ClOClO3                            | chlorine perchlorate                         | 27218-16-2
Cm2O3                              | curium(III) oxide                            | 12371-27-6
CmBr3                              | curium(III) bromide                          | 14890-42-7
CmCl3                              | curium(III) chloride                         | 13537-20-7
CmF3                               | curium(III) fluoride                         | 13708-79-7
CmF4                               | curium(IV) fluoride                          | 24311-95-3
CmI3                               | curium(III) iodide                           | 14696-85-6
CmO                                | curium(II) oxide                             | 24762-86-5
CmO2                               | curium(IV) oxide                             | 12016-67-0
Cn                                 | cyanide                                      | 74-90-8
Co(C11H10O2)2                      | cobalt(II) naphthenate                       | 61789-51-3
Co(C2H3O2)2                        | cobalt(II) acetate                           | 71-48-7
Co(C2H3O2)2                        | cobalt(II) acetate tetrahydrate              | 6147-53-1
Co(C2H3O2)2                        | cobalt(II) acetate                           | 71-48-7
Co(C2H3O2)3                        | cobalt(III) acetate                          | 917-69-1
Co(CN)2                            | cobalt(II) cyanide                           | 542-84-7
Co(CN)2                            | cobalt(II) cyanide                           | 542-84-7
Co(ClO4)2                          | cobalt(II) perchlorate                       | 13455-31-7
Co(ClO4)2                          | cobalt(II) perchlorate                       | 13455-31-7
Co(IO3)2                           | cobalt(II) iodate                            | 13455-28-2
Co(IO3)2                           | cobalt(II) iodate                            | 13455-28-2
Co(NO3)2                           | cobalt(II) nitrate                           | 10141-05-6
Co(NO3)2                           | cobalt(II) nitrate                           | 10141-05-6
Co(NO3)2.6H2O                      | cobalt(II) nitrate hexahydrate               | 10026-22-9
Co(NO3)3                           | cobalt(III) nitrate                          | 15520-84-0
Co(NO3)3                           | cobalt(III) nitrate                          | 15520-84-0
Co(OH)2                            | cobalt(II) hydroxide                         | 21041-93-0
Co(OH)2                            | cobalt(II) hydroxide                         | 21041-93-0
Co(OH)3                            | cobalt(III) hydroxide                        | 1307-86-4
Co(OH)3                            | cobalt(III) hydroxide                        | 1307-86-4
Co2B                               | cobalt boride                                | 12045-01-1
Co2O3                              | cobalt(III) oxide                            | 1308-04-9
Co2O3.H2O                          | cobalt(III) oxide monohydrate                | 12016-80-7
Co2S3                              | cobalt(III) sulfide                          | 1332-71-4
Co2S3                              | cobalt(III) sulfide                          | 1332-71-4
Co2SO4                             | cobalt(II) sulfate                           | 10124-43-3
Co2SiO4                            | cobalt(II) orthosilicate                     | 12017-08-2
Co2SiO4                            | cobalt(II) orthosilicate                     | 12017-08-2
Co2SnO4                            | cobalt(II) stannate                          | 12139-93-4
Co2SnO4                            | cobalt(II) stannate                          | 12139-93-4
Co2TiO4                            | cobalt(III) titanate                         | 12017-38-8
Co2TiO4                            | cobalt(II) titanite                          | 12017-38-8
Co3(AsO4)2                         | cobalt arsenate                              | 
Co3(Fe(CN)6)2                      | cobalt(II) ferricyanide                      | 14049-81-1
Co3(Fe(CN)6)2                      | cobalt(II) ferricyanide                      | 14049-81-1
CoAl2O4                            | cobalt(II) aluminate                         | 13820-62-7
CoAl2O4                            | cobalt(II) aluminate                         | 13820-62-7
CoAs                               | cobalt arsenide                              | 27016-73-5
CoAs2                              | cobalt(II) arsenide                          | 12044-42-7
CoB                                | cobalt(II) boride                            | 12006-77-8
CoBr2                              | cobalt(II) bromide                           | 7789-43-7
CoBr2                              | cobalt(II) bromide                           | 7789-43-7
CoC15H21O6                         | cobalt(III) acetylacetonate                  | 21679-46-9
CoC2O4                             | cobalt(II) oxalate                           | 814-89-1
CoC2O4                             | cobalt(II) oxalate                           | 814-89-1
CoCl2                              | cobalt(II) chloride                          | 7646-79-9
CoCl2                              | cobalt(II) chloride                          | 7646-79-9
CoCl2.6H2O                         | cobalt(II) chloride hexahydrate              | 7791-13-1
CoCl3                              | cobalt(III) chloride                         | 10241-04-0
CoCr2O4                            | cobalt(II) chromite                          | 13455-25-9
CoCr2O4                            | cobalt(II) chromite                          | 13455-25-9
CoCrO4                             | cobalt(II) chromate                          | 24613-38-5
CoCrO4                             | cobalt(II) chromate                          | 24613-38-5
CoF2                               | cobalt(II) fluoride                          | 10026-17-2
CoF2                               | cobalt(II) fluoride                          | 10026-17-2
CoF3                               | cobalt(III) fluoride                         | 10026-18-3
CoF3                               | cobalt(III) fluoride                         | 10026-18-3
CoF4                               | cobalt(IV) fluoride                          | 13596-45-7
CoI2                               | cobalt(II) iodide                            | 15238-00-3
CoI2                               | cobalt(II) iodide                            | 15238-00-3
CoMoO4                             | cobalt(II) molybdate                         | 13762-14-6
CoMoO4                             | cobalt(II) molybdate                         | 13762-14-6
CoO                                | cobalt(II) oxide                             | 1307-96-6
CoO                                | cobalt(II) oxide                             | 1307-96-6
CoS                                | cobalt(II) sulfide                           | 1317-42-6
CoS                                | cobalt(II) sulfide                           | 1317-42-6
CoS2                               | cobalt(IV) sulfide                           | 12013-10-4
CoS2                               | cobalt disulfide                             | 12013-10-4
CoSO4                              | cobalt(II) sulfate                           | 10124-43-3
CoSb                               | cobalt antimonide                            | 12052-42-5
CoSe                               | cobalt(II) selenide                          | 1307-99-9
CoSe                               | cobalt(II) selenide                          | 1307-99-9
CoSeO3                             | cobalt(II) selenite                          | 10026-23-0
CoTe                               | cobalt(II) telluride                         | 12017-13-9
CoTe                               | cobalt(II) telluride                         | 12017-13-9
CoTiO3                             | cobalt(II) titanate                          | 12017-01-5
CoTiO3                             | cobalt(II) titanate                          | 12017-01-5
CoWO4                              | cobalt(II) tungstate                         | 12640-47-0
CoWO4                              | cobalt(II) tungstate                         | 12640-47-0
Cr(C6H4NO2)3                       | chromium(III) picolinate                     | 14639-25-9
Cr(CO)6                            | chromium(VI) carbonyl                        | 13007-92-6
Cr(NO2)3                           | chromium(III) nitrite                        | 
Cr(NO3)3                           | chromium(III) nitrate                        | 13548-38-4
Cr(NO3)3                           | chromium(III) nitrate                        | 13548-38-4
Cr(OH)3                            | chromium(III) hydroxide                      | 1308-14-1
Cr2(SO4)3                          | chromium(III) sulfate                        | 10101-53-8
Cr2(SO4)3                          | chromium(III) sulfate                        | 10101-53-8
Cr2(TeO4)3                         | chromium(III) tellurate                      | 
Cr2O3                              | chromium(III) oxide                          | 1308-38-9
Cr2O3                              | chromium(III) oxide                          | 1308-38-9
Cr2O3                              | eskolaite                                    | 1308-38-9
Cr2S3                              | chromium(III) sulfide                        | 12018-22-3
Cr2S3                              | chromium(III) sulfide                        | 12018-22-3
Cr2Se3                             | chromium(III) selenide                       | 
Cr2Te3                             | chromium(III) telluride                      | 12053-39-3
Cr2Te3                             | chromium(III) telluride                      | 12053-39-3
Cr3As2                             | chromium(II) arsenide                        | 
Cr3C2                              | chromium(II) carbide                         | 12012-35-0
Cr3C2                              | chromium(II) carbide                         | 12012-35-0
Cr3O4                              | chromium(II,III) oxide                       | 12018-34-7
Cr3Sb2                             | chromium(II) antimonide                      | 
CrBr2                              | chromium(II) bromide                         | 10049-25-9
CrBr2                              | chromium(II) bromide                         | 10049-25-9
CrBr3                              | chromium(III) bromide                        | 10031-25-1
CrBr3                              | chromium(III) bromide                        | 10031-25-1
CrBr4                              | chromium(IV) bromide                         | 23098-84-2
CrCl2                              | chromium(II) chloride                        | 10049-05-5
CrCl2                              | chromium(II) chloride                        | 10049-05-5
CrCl3                              | chromium(III) chloride                       | 10025-73-7
CrCl3                              | chromium(III) chloride                       | 10025-73-7
CrCl4                              | chromium(IV) chloride                        | 15597-88-3
CrCl4                              | chromium(IV) chloride                        | 15597-88-3
CrF2                               | chromium(II) fluoride                        | 10049-10-2
CrF2                               | chromium(II) fluoride                        | 10049-10-2
CrF3                               | chromium(III) fluoride                       | 7788-97-8
CrF3                               | chromium(III) fluoride                       | 7788-97-8
CrF4                               | chromium(IV) fluoride                        | 10049-11-3
CrF4                               | chromium(IV) fluoride                        | 10049-11-3
CrF5                               | chromium(V) fluoride                         | 14884-42-5
CrF5                               | chromium(V) fluoride                         | 13843-28-2
CrF6                               | chromium(VI) fluoride                        | 13843-28-2
CrF6                               | chromium(VI) fluoride                        | 13843-28-2
CrI2                               | chromium(II) iodide                          | 13478-28-9
CrI2                               | chromium(II) iodide                          | 13478-28-9
CrI3                               | chromium(III) iodide                         | 13569-75-0
CrI3                               | chromium(III) iodide                         | 13569-75-0
CrI4                               | chromium(IV) iodide                          | 23518-77-6
CrN                                | chromium(III) nitride                        | 12053-27-9
CrO2                               | chromium(IV) oxide                           | 12018-01-8
CrO2                               | chromium(IV) oxide                           | 12018-01-8
CrO2Cl2                            | chromyl chloride                             | 14977-61-8
CrO2Cl2                            | chromium(VI) oxychloride                     | 14977-61-8
CrO2F2                             | chromyl fluoride                             | 7788-96-7
CrO3                               | chromium(VI) oxide                           | 1333-82-0
CrO3                               | chromium(VI) oxide                           | 1333-82-0
CrO42−                             | chromate ion                                 | 13907-45-4
CrPO4                              | chromium(III) phosphate                      | 7789-04-0
CrPO4                              | chromium(III) phosphate                      | 7789-04-0
CrSb                               | chromium antimonide                          | 12053-12-2
CrSe                               | chromium(II) selenide                        | 12053-13-3
CrSe                               | chromium(II) selenide                        | 12053-13-3
CrSi2                              | chromium(II) silicide                        | 12018-09-6
CrVO4                              | chromium(III) orthovanadate                  | 
Cs2C2O4                            | caesium oxalate                              | 1068-63-9
Cs2C2O4                            | caesium oxalate                              | 1068-63-9
Cs2CO3                             | caesium carbonate                            | 534-17-8
Cs2CO3                             | caesium carbonate                            | 29703-01-3
Cs2CdI4                            | caesium tetraiodocadamate                    | 15683-21-3
Cs2Cr2O7                           | caesium dichromate                           | 13530-67-1
Cs2CrO4                            | caesium chromate                             | 56320-90-2
Cs2CrO4                            | caesium chromate                             | 13454-78-9
Cs2HPO3                            | dicaesium phosphite                          | 
Cs2HPO4                            | caesium hydrogen orthophosphate              | 
Cs2HPO4                            | dicaesium phosphate                          | 
Cs2MoO4                            | caesium molybdate                            | 13597-64-3
Cs2MoO4                            | caesium molybdate                            | 13597-64-3
Cs2NbO3                            | caesium metaniobate                          | 
Cs2O                               | caesium oxide                                | 20281-00-9
Cs2O                               | caesium oxide                                | 20281-00-9
Cs2O2                              | caesium peroxide                             | 12053-70-2
Cs2O2                              | caesium peroxide                             | 
Cs2S                               | caesium sulfide                              | 12214-16-3
Cs2S                               | caesium sulfide                              | 12214-16-3
Cs2SO3                             | caesium sulfite                              | 
Cs2SO4                             | caesium sulfate                              | 10294-54-9
Cs2SO4                             | caesium sulfate                              | 10294-54-9
Cs2Se                              | caesium selenide                             | 31052-46-7
Cs2SiO3                            | caesium metasilicate                         | 15586-77-3
Cs2Te                              | caesium telluride                            | 12191-06-9
Cs2TeO4                            | caesium tellurate                            | 34729-54-9
Cs2TiO3                            | caesium titanate                             | 12158-57-5
Cs2TiO3                            | caesium metatitanate                         | 12158-57-5
Cs2WO4                             | caesium tungstate                            | 13587-19-4
Cs2WO4                             | caesium orthotungstate                       | 13587-19-4
Cs2ZnI4                            | caesium tetraiodozincate                     | 15158-68-6
Cs3PO3                             | tricaesium phosphite                         | 
Cs3PO4                             | caesium orthophosphate                       | 17893-64-0
Cs3VO4                             | caesium orthovanadate                        | 34283-69-7
CsBO2                              | caesium metaborate                           | 92141-86-1
CsBO2                              | caesium borate                               | 92141-86-1
CsBr                               | caesium bromide                              | 7787-69-1
CsBr                               | caesium bromide                              | 7787-69-1
CsBr3                              | caesium tribromide                           | 14023-00-8
CsBrO                              | caesium hypobromite                          | 
CsBrO2                             | caesium bromite                              | 
CsBrO3                             | caesium bromate                              | 13454-75-6
CsBrO3                             | caesium bromate                              | 13454-75-6
CsBrO4                             | caesium perbromate                           | 
CsC2H3O2                           | caesium acetate                              | 3399-17-5
CsC2H3O2                           | caesium acetate                              | 3396-11-0
CsCN                               | caesium cyanide                              | 21159-32-0
CsCN                               | caesium cyanide                              | 21159-32-0
CsCNO                              | caesium cyanate                              | 
CsCNO                              | caesium fulminate                            | 
CsCl                               | caesium chloride                             | 7647-17-8
CsCl                               | caesium chloride                             | 7647-17-8
CsClO                              | caesium hypochlorite                         | 
CsClO2                             | caesium chlorite                             | 
CsClO3                             | caesium chlorate                             | 13763-67-2
CsClO3                             | caesium chlorate                             | 13763-67-2
CsClO4                             | caesium perchlorate                          | 13454-84-7
CsClO4                             | caesium perchlorate                          | 13454-84-7
CsF                                | caesium fluoride                             | 13400-13-0
CsF                                | caesium fluoride                             | 13400-13-0
CsH                                | caesium hydride                              | 58724-12-2
CsH                                | caesium hydride                              | 13772-47-9
CsH2PO3                            | monocaesium phosphite                        | 
CsH2PO4                            | monocaesium phosphate                        | 18649-05-3
CsHCO3                             | caesium bicarbonate                          | 15519-28-5
CsHS                               | caesium hydrosulfide                         | 
CsHSO3                             | caesium bisulfite                            | 
CsHSO4                             | caesium hydrogen sulfate                     | 7789-16-4
CsI                                | caesium iodide                               | 7789-17-5
CsI                                | caesium iodide                               | 7789-17-5
CsI3                               | caesium triiodide                            | 12297-72-2
CsIO                               | caesium hypoiodite                           | 
CsIO2                              | caesium iodite                               | 
CsIO3                              | caesium iodate                               | 13454-81-4
CsIO3                              | caesium iodate                               | 13454-81-4
CsIO4                              | caesium periodate                            | 13478-04-1
CsIO4                              | caesium periodate                            | 13478-04-1
CsMnO4                             | caesium permanganate                         | 13456-28-5
CsN3                               | caesium azide                                | 22750-57-8
CsN3                               | caesium azide                                | 22750-57-8
CsNH2                              | caesium amide                                | 22205-57-8
CsNH2                              | caesium amide                                | 22205-57-8
